tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
622,2021-04-01 10:09:35.8640,2021-04-01 10:19:58.3980,3203,Hamilton Park,40.727595965999996,-74.044247311,3184,Paulus Hook,40.7141454,-74.0335519,41620,Customer,1970,0
480,2021-04-01 10:18:09.8070,2021-04-01 10:26:10.7050,3267,Morris Canal,40.7124188237569,-74.03852552175522,3186,Grove St PATH,40.71958611647166,-74.0431174635887,54260,Customer,1970,0
125,2021-04-01 10:21:18.6450,2021-04-01 10:23:24.2450,3279,Dixon Mills,40.72163014263835,-74.04996782541275,3186,Grove St PATH,40.71958611647166,-74.0431174635887,43416,Customer,1970,0
172,2021-04-01 10:22:57.8870,2021-04-01 10:25:50.6290,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,3186,Grove St PATH,40.71958611647166,-74.0431174635887,45959,Subscriber,1981,1
175,2021-04-01 10:27:30.8000,2021-04-01 10:30:26.1510,3279,Dixon Mills,40.72163014263835,-74.04996782541275,3186,Grove St PATH,40.71958611647166,-74.0431174635887,40866,Customer,1970,0
204,2021-04-01 10:33:28.4120,2021-04-01 10:36:52.4910,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3186,Grove St PATH,40.71958611647166,-74.0431174635887,54251,Customer,1970,0
315,2021-04-01 10:34:58.6290,2021-04-01 10:40:13.9840,3209,Brunswick St,40.7241765,-74.05065640000001,3186,Grove St PATH,40.71958611647166,-74.0431174635887,42155,Customer,1970,0
305,2021-04-01 10:39:59.2690,2021-04-01 10:45:04.8330,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3187,Warren St,40.721123600000006,-74.03805095,44785,Customer,1970,0
461,2021-04-01 10:41:44.1710,2021-04-01 10:49:26.0530,3213,Van Vorst Park,40.71848892,-74.047726625,3184,Paulus Hook,40.7141454,-74.0335519,48857,Customer,1970,0
297,2021-04-01 10:43:05.5850,2021-04-01 10:48:03.1520,3267,Morris Canal,40.7124188237569,-74.03852552175522,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,38969,Customer,1970,0
456,2021-04-01 10:49:29.8670,2021-04-01 10:57:06.5280,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,43236,Customer,1970,0
359,2021-04-01 10:55:49.4790,2021-04-01 11:01:48.5000,3207,Oakland Ave,40.7376037,-74.05247829999999,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131606,48922,Customer,1970,0
424,2021-04-01 10:58:48.4220,2021-04-01 11:05:53.2470,3280,Astor Place,40.71928220070703,-74.07126188278198,3195,Sip Ave,40.73089709786179,-74.06391263008119,45198,Customer,1970,0
286,2021-04-01 11:00:40.4640,2021-04-01 11:05:26.9720,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,3205,JC Medical Center,40.71653978099194,-74.0496379137039,32575,Customer,1970,0
749,2021-04-01 11:00:47.3320,2021-04-01 11:13:17.0710,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,3186,Grove St PATH,40.71958611647166,-74.0431174635887,39260,Customer,1970,0
144,2021-04-01 11:08:09.8270,2021-04-01 11:10:34.4950,3273,Manila & 1st,40.72165072487999,-74.04288411140442,3187,Warren St,40.721123600000006,-74.03805095,38891,Customer,1970,0
301,2021-04-01 11:22:12.0580,2021-04-01 11:27:13.7750,3209,Brunswick St,40.7241765,-74.05065640000001,3275,Columbus Drive,40.71835519823214,-74.03891444206238,27705,Customer,1970,0
671,2021-04-01 11:31:43.7650,2021-04-01 11:42:54.7980,3640,Journal Square,40.733670000000004,-74.0625,3184,Paulus Hook,40.7141454,-74.0335519,24987,Customer,1970,0
260,2021-04-01 11:33:31.2090,2021-04-01 11:37:51.8370,3267,Morris Canal,40.7124188237569,-74.03852552175522,3639,Harborside,40.71925170000001,-74.034234,46527,Customer,1970,0
585,2021-04-01 11:44:04.9610,2021-04-01 11:53:50.0570,3209,Brunswick St,40.7241765,-74.05065640000001,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,39055,Customer,1970,0
461,2021-04-01 11:49:02.2770,2021-04-01 11:56:43.5760,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3186,Grove St PATH,40.71958611647166,-74.0431174635887,28157,Customer,1970,0
767,2021-04-01 11:53:07.8770,2021-04-01 12:05:55.3790,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3205,JC Medical Center,40.71653978099194,-74.0496379137039,43634,Customer,1970,0
554,2021-04-01 11:56:22.7030,2021-04-01 12:05:36.7850,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3639,Harborside,40.71925170000001,-74.034234,44911,Customer,1970,0
353,2021-04-01 12:04:14.0710,2021-04-01 12:10:07.7340,3195,Sip Ave,40.73089709786179,-74.06391263008119,3679,Bergen Ave,40.72210378668603,-74.07145500183104,45198,Customer,1970,0
410,2021-04-01 12:18:43.9140,2021-04-01 12:25:34.5440,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,24965,Customer,1970,0
423,2021-04-01 12:18:52.3110,2021-04-01 12:25:56.1670,3280,Astor Place,40.71928220070703,-74.07126188278198,3195,Sip Ave,40.73089709786179,-74.06391263008119,42240,Customer,1970,0
238,2021-04-01 12:26:03.3140,2021-04-01 12:30:01.8570,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,54251,Customer,1970,0
349,2021-04-01 12:27:06.6440,2021-04-01 12:32:56.4470,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,3186,Grove St PATH,40.71958611647166,-74.0431174635887,35358,Customer,1970,0
197,2021-04-01 12:35:39.8670,2021-04-01 12:38:57.5520,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,3186,Grove St PATH,40.71958611647166,-74.0431174635887,44556,Customer,1970,0
366,2021-04-01 12:43:52.2400,2021-04-01 12:49:58.3250,3203,Hamilton Park,40.727595965999996,-74.044247311,3202,Newport PATH,40.7272235,-74.03375890000001,44392,Customer,1970,0
